[Model: LSTM, With dropout, Optimizer: AdamW, Hidden-size: 250, Embedding-size: 350, Learning-rate: 0.0001]
[Epoch: 1, PPL: 734.4752, Best PPL: 734.4752]
[Epoch: 2, PPL: 614.6424, Best PPL: 614.6424]
[Epoch: 3, PPL: 524.1131, Best PPL: 524.1131]
[Epoch: 4, PPL: 459.0820, Best PPL: 459.0820]
[Epoch: 5, PPL: 410.0316, Best PPL: 410.0316]
[Epoch: 6, PPL: 373.6676, Best PPL: 373.6676]
[Epoch: 7, PPL: 345.4879, Best PPL: 345.4879]
[Epoch: 8, PPL: 322.7824, Best PPL: 322.7824]
[Epoch: 9, PPL: 303.5913, Best PPL: 303.5913]
[Epoch: 10, PPL: 287.8323, Best PPL: 287.8323]
[Epoch: 11, PPL: 274.5224, Best PPL: 274.5224]
[Epoch: 12, PPL: 263.0070, Best PPL: 263.0070]
[Epoch: 13, PPL: 253.7240, Best PPL: 253.7240]
[Epoch: 14, PPL: 244.8837, Best PPL: 244.8837]
[Epoch: 15, PPL: 237.5862, Best PPL: 237.5862]
[Epoch: 16, PPL: 231.1143, Best PPL: 231.1143]
[Epoch: 17, PPL: 224.9470, Best PPL: 224.9470]
[Epoch: 18, PPL: 219.3154, Best PPL: 219.3154]
[Epoch: 19, PPL: 213.9107, Best PPL: 213.9107]
[Epoch: 20, PPL: 209.6734, Best PPL: 209.6734]
[Epoch: 21, PPL: 205.4834, Best PPL: 205.4834]
[Epoch: 22, PPL: 201.3961, Best PPL: 201.3961]
[Epoch: 23, PPL: 197.6906, Best PPL: 197.6906]
[Epoch: 24, PPL: 194.2200, Best PPL: 194.2200]
[Epoch: 25, PPL: 191.1373, Best PPL: 191.1373]
[Epoch: 26, PPL: 188.0476, Best PPL: 188.0476]
[Epoch: 27, PPL: 185.3032, Best PPL: 185.3032]
[Epoch: 28, PPL: 182.5066, Best PPL: 182.5066]
[Epoch: 29, PPL: 180.0606, Best PPL: 180.0606]
[Epoch: 30, PPL: 177.9539, Best PPL: 177.9539]
[Epoch: 31, PPL: 175.6506, Best PPL: 175.6506]
[Epoch: 32, PPL: 173.5408, Best PPL: 173.5408]
[Epoch: 33, PPL: 171.8225, Best PPL: 171.8225]
[Epoch: 34, PPL: 170.0644, Best PPL: 170.0644]
[Epoch: 35, PPL: 168.3933, Best PPL: 168.3933]
[Epoch: 36, PPL: 166.7269, Best PPL: 166.7269]
[Epoch: 37, PPL: 165.0518, Best PPL: 165.0518]
[Epoch: 38, PPL: 163.5505, Best PPL: 163.5505]
[Epoch: 39, PPL: 162.1839, Best PPL: 162.1839]
[Epoch: 40, PPL: 161.0872, Best PPL: 161.0872]
[Epoch: 41, PPL: 159.8123, Best PPL: 159.8123]
[Epoch: 42, PPL: 158.6164, Best PPL: 158.6164]
[Epoch: 43, PPL: 157.3724, Best PPL: 157.3724]
[Epoch: 44, PPL: 156.2224, Best PPL: 156.2224]
[Epoch: 45, PPL: 155.3848, Best PPL: 155.3848]
[Epoch: 46, PPL: 154.1008, Best PPL: 154.1008]
[Epoch: 47, PPL: 153.2020, Best PPL: 153.2020]
[Epoch: 48, PPL: 152.3281, Best PPL: 152.3281]
[Epoch: 49, PPL: 151.4640, Best PPL: 151.4640]
[Epoch: 50, PPL: 150.8878, Best PPL: 150.8878]
[Epoch: 51, PPL: 149.9066, Best PPL: 149.9066]
[Epoch: 52, PPL: 149.0623, Best PPL: 149.0623]
[Epoch: 53, PPL: 148.2855, Best PPL: 148.2855]
[Epoch: 54, PPL: 147.6894, Best PPL: 147.6894]
[Epoch: 55, PPL: 146.9072, Best PPL: 146.9072]
[Epoch: 56, PPL: 146.1510, Best PPL: 146.1510]
[Epoch: 57, PPL: 145.5055, Best PPL: 145.5055]
[Epoch: 58, PPL: 144.8457, Best PPL: 144.8457]
[Epoch: 59, PPL: 144.2956, Best PPL: 144.2956]
[Epoch: 60, PPL: 143.5612, Best PPL: 143.5612]
[Epoch: 61, PPL: 142.8928, Best PPL: 142.8928]
[Epoch: 62, PPL: 142.5923, Best PPL: 142.5923]
[Epoch: 63, PPL: 142.0374, Best PPL: 142.0374]
[Epoch: 64, PPL: 141.4284, Best PPL: 141.4284]
[Epoch: 65, PPL: 140.9888, Best PPL: 140.9888]
[Epoch: 66, PPL: 140.4339, Best PPL: 140.4339]
[Epoch: 67, PPL: 140.1968, Best PPL: 140.1968]
[Epoch: 68, PPL: 139.7426, Best PPL: 139.7426]
[Epoch: 69, PPL: 139.2943, Best PPL: 139.2943]
[Epoch: 70, PPL: 138.7550, Best PPL: 138.7550]
[Epoch: 71, PPL: 138.5023, Best PPL: 138.5023]
[Epoch: 72, PPL: 138.2055, Best PPL: 138.2055]
[Epoch: 73, PPL: 137.7757, Best PPL: 137.7757]
[Epoch: 74, PPL: 137.2322, Best PPL: 137.2322]
[Epoch: 75, PPL: 137.0412, Best PPL: 137.0412]
[Epoch: 76, PPL: 136.7162, Best PPL: 136.7162]
[Epoch: 77, PPL: 136.5520, Best PPL: 136.5520]
[Epoch: 78, PPL: 136.2239, Best PPL: 136.2239]
[Epoch: 79, PPL: 135.7036, Best PPL: 135.7036]
[Epoch: 80, PPL: 135.5458, Best PPL: 135.5458]
[Epoch: 81, PPL: 135.2440, Best PPL: 135.2440]
[Epoch: 82, PPL: 135.0081, Best PPL: 135.0081]
[Epoch: 83, PPL: 134.8193, Best PPL: 134.8193]
[Epoch: 84, PPL: 134.5245, Best PPL: 134.5245]
[Epoch: 85, PPL: 134.2226, Best PPL: 134.2226]
