[Model: LSTM, With droput, Optimizer: SGD, Hidden-size: 250, Embedding-size: 350, Learning-rate: 0.05]
[Epoch: 1, PPL: 2057.0361, Best PPL: 2057.0361]
[Epoch: 2, PPL: 932.2753, Best PPL: 932.2753]
[Epoch: 3, PPL: 742.8712, Best PPL: 742.8712]
[Epoch: 4, PPL: 650.9437, Best PPL: 650.9437]
[Epoch: 5, PPL: 594.4323, Best PPL: 594.4323]
[Epoch: 6, PPL: 554.6487, Best PPL: 554.6487]
[Epoch: 7, PPL: 524.0473, Best PPL: 524.0473]
[Epoch: 8, PPL: 498.7994, Best PPL: 498.7994]
[Epoch: 9, PPL: 478.2382, Best PPL: 478.2382]
[Epoch: 10, PPL: 459.1003, Best PPL: 459.1003]
[Epoch: 11, PPL: 443.5540, Best PPL: 443.5540]
[Epoch: 12, PPL: 429.6243, Best PPL: 429.6243]
[Epoch: 13, PPL: 417.2240, Best PPL: 417.2240]
[Epoch: 14, PPL: 406.0544, Best PPL: 406.0544]
[Epoch: 15, PPL: 395.9838, Best PPL: 395.9838]
[Epoch: 16, PPL: 387.3304, Best PPL: 387.3304]
[Epoch: 17, PPL: 378.9684, Best PPL: 378.9684]
[Epoch: 18, PPL: 371.0822, Best PPL: 371.0822]
[Epoch: 19, PPL: 364.3192, Best PPL: 364.3192]
[Epoch: 20, PPL: 356.8806, Best PPL: 356.8806]
[Epoch: 21, PPL: 351.4959, Best PPL: 351.4959]
[Epoch: 22, PPL: 345.1131, Best PPL: 345.1131]
[Epoch: 23, PPL: 339.5434, Best PPL: 339.5434]
[Epoch: 24, PPL: 334.3312, Best PPL: 334.3312]
[Epoch: 25, PPL: 329.4006, Best PPL: 329.4006]
[Epoch: 26, PPL: 324.8823, Best PPL: 324.8823]
[Epoch: 27, PPL: 320.7722, Best PPL: 320.7722]
[Epoch: 28, PPL: 315.9982, Best PPL: 315.9982]
[Epoch: 29, PPL: 312.3731, Best PPL: 312.3731]
[Epoch: 30, PPL: 308.6859, Best PPL: 308.6859]
[Epoch: 31, PPL: 304.8301, Best PPL: 304.8301]
[Epoch: 32, PPL: 301.3308, Best PPL: 301.3308]
[Epoch: 33, PPL: 297.9946, Best PPL: 297.9946]
[Epoch: 34, PPL: 294.9707, Best PPL: 294.9707]
[Epoch: 35, PPL: 291.6613, Best PPL: 291.6613]
[Epoch: 36, PPL: 288.8110, Best PPL: 288.8110]
[Epoch: 37, PPL: 285.9453, Best PPL: 285.9453]
[Epoch: 38, PPL: 283.3912, Best PPL: 283.3912]
[Epoch: 39, PPL: 281.1836, Best PPL: 281.1836]
[Epoch: 40, PPL: 278.3402, Best PPL: 278.3402]
[Epoch: 41, PPL: 275.9244, Best PPL: 275.9244]
[Epoch: 42, PPL: 273.5576, Best PPL: 273.5576]
[Epoch: 43, PPL: 271.6459, Best PPL: 271.6459]
[Epoch: 44, PPL: 269.2139, Best PPL: 269.2139]
[Epoch: 45, PPL: 267.1286, Best PPL: 267.1286]
[Epoch: 46, PPL: 265.1006, Best PPL: 265.1006]
[Epoch: 47, PPL: 262.8370, Best PPL: 262.8370]
[Epoch: 48, PPL: 261.0522, Best PPL: 261.0522]
[Epoch: 49, PPL: 259.0916, Best PPL: 259.0916]
[Epoch: 50, PPL: 257.0638, Best PPL: 257.0638]
[Epoch: 51, PPL: 255.5489, Best PPL: 255.5489]
[Epoch: 52, PPL: 254.3772, Best PPL: 254.3772]
[Epoch: 53, PPL: 252.4409, Best PPL: 252.4409]
[Epoch: 54, PPL: 250.7796, Best PPL: 250.7796]
[Epoch: 55, PPL: 249.0540, Best PPL: 249.0540]
[Epoch: 56, PPL: 247.7104, Best PPL: 247.7104]
[Epoch: 57, PPL: 246.0008, Best PPL: 246.0008]
[Epoch: 58, PPL: 244.4313, Best PPL: 244.4313]
[Epoch: 59, PPL: 243.3429, Best PPL: 243.3429]
[Epoch: 60, PPL: 241.9396, Best PPL: 241.9396]
[Epoch: 61, PPL: 240.5637, Best PPL: 240.5637]
[Epoch: 62, PPL: 239.4470, Best PPL: 239.4470]
[Epoch: 63, PPL: 237.9615, Best PPL: 237.9615]
