[Model: LSTM, With droput, Optimizer: SGD, Hidden-size: 250, Embedding-size: 350, Learning-rate: 1]
[Epoch: 1, PPL: 407.6755, Best PPL: 407.6755]
[Epoch: 2, PPL: 288.5807, Best PPL: 288.5807]
[Epoch: 3, PPL: 251.8226, Best PPL: 251.8226]
[Epoch: 4, PPL: 228.5437, Best PPL: 228.5437]
[Epoch: 5, PPL: 207.7815, Best PPL: 207.7815]
[Epoch: 6, PPL: 198.0410, Best PPL: 198.0410]
[Epoch: 7, PPL: 187.1029, Best PPL: 187.1029]
[Epoch: 8, PPL: 181.0102, Best PPL: 181.0102]
[Epoch: 9, PPL: 174.5492, Best PPL: 174.5492]
[Epoch: 10, PPL: 168.5234, Best PPL: 168.5234]
[Epoch: 11, PPL: 166.2479, Best PPL: 166.2479]
[Epoch: 12, PPL: 160.5767, Best PPL: 160.5767]
[Epoch: 13, PPL: 157.4699, Best PPL: 157.4699]
[Epoch: 14, PPL: 155.9018, Best PPL: 155.9018]
[Epoch: 15, PPL: 152.0728, Best PPL: 152.0728]
[Epoch: 16, PPL: 149.3981, Best PPL: 149.3981]
[Epoch: 17, PPL: 149.1095, Best PPL: 149.1095]
[Epoch: 18, PPL: 145.5897, Best PPL: 145.5897]
[Epoch: 19, PPL: 146.4888, Best PPL: 145.5897]
[Epoch: 20, PPL: 143.4538, Best PPL: 143.4538]
[Epoch: 21, PPL: 141.0885, Best PPL: 141.0885]
[Epoch: 22, PPL: 142.1331, Best PPL: 141.0885]
[Epoch: 23, PPL: 140.3277, Best PPL: 140.3277]
[Epoch: 24, PPL: 137.8050, Best PPL: 137.8050]
[Epoch: 25, PPL: 136.8524, Best PPL: 136.8524]
[Epoch: 26, PPL: 136.1318, Best PPL: 136.1318]
[Epoch: 27, PPL: 136.1862, Best PPL: 136.1318]
[Epoch: 28, PPL: 134.4616, Best PPL: 134.4616]
[Epoch: 29, PPL: 133.6191, Best PPL: 133.6191]
[Epoch: 30, PPL: 133.9244, Best PPL: 133.6191]
[Epoch: 31, PPL: 132.7751, Best PPL: 132.7751]
[Epoch: 32, PPL: 132.4642, Best PPL: 132.4642]
[Epoch: 33, PPL: 131.2739, Best PPL: 131.2739]
[Epoch: 34, PPL: 130.6523, Best PPL: 130.6523]
[Epoch: 35, PPL: 130.1268, Best PPL: 130.1268]
[Epoch: 36, PPL: 130.1775, Best PPL: 130.1268]
[Epoch: 37, PPL: 130.4636, Best PPL: 130.1268]
[Epoch: 38, PPL: 129.5818, Best PPL: 129.5818]
[Epoch: 39, PPL: 128.7824, Best PPL: 128.7824]
[Epoch: 40, PPL: 128.4394, Best PPL: 128.4394]
[Epoch: 41, PPL: 128.6797, Best PPL: 128.4394]
[Epoch: 42, PPL: 127.6214, Best PPL: 127.6214]
[Epoch: 43, PPL: 127.6860, Best PPL: 127.6214]
[Epoch: 44, PPL: 127.2748, Best PPL: 127.2748]
[Epoch: 45, PPL: 127.2246, Best PPL: 127.2246]
[Epoch: 46, PPL: 127.3988, Best PPL: 127.2246]
[Epoch: 47, PPL: 126.3578, Best PPL: 126.3578]
[Epoch: 48, PPL: 126.8232, Best PPL: 126.3578]
[Epoch: 49, PPL: 126.1086, Best PPL: 126.1086]
[Epoch: 50, PPL: 126.0841, Best PPL: 126.0841]
[Epoch: 51, PPL: 126.0232, Best PPL: 126.0232]
[Epoch: 52, PPL: 126.3029, Best PPL: 126.0232]
[Epoch: 53, PPL: 126.0157, Best PPL: 126.0157]
[Epoch: 54, PPL: 125.9100, Best PPL: 125.9100]
[Epoch: 55, PPL: 125.5104, Best PPL: 125.5104]
[Epoch: 56, PPL: 125.9684, Best PPL: 125.5104]
[Epoch: 57, PPL: 125.5484, Best PPL: 125.5104]
[Epoch: 58, PPL: 125.6159, Best PPL: 125.5104]
[Epoch: 59, PPL: 125.1946, Best PPL: 125.1946]
[Epoch: 60, PPL: 125.0770, Best PPL: 125.0770]
[Epoch: 61, PPL: 125.2255, Best PPL: 125.0770]
[Epoch: 62, PPL: 124.7273, Best PPL: 124.7273]
[Epoch: 63, PPL: 125.1976, Best PPL: 124.7273]
[Epoch: 64, PPL: 125.1932, Best PPL: 124.7273]
[Epoch: 65, PPL: 125.3679, Best PPL: 124.7273]
[Epoch: 66, PPL: 126.4128, Best PPL: 124.7273]
[Epoch: 67, PPL: 125.3387, Best PPL: 124.7273]
[Final PPL: 120.8145]
