[Optimizer: SGD, Hidden-size: 250, Embedding-size: 350, Learning-rate: 0.1]
[Epoch: 1, PPL: 908.6958, Best PPL: 908.6958]
[Epoch: 2, PPL: 642.9743, Best PPL: 642.9743]
[Epoch: 3, PPL: 546.2370, Best PPL: 546.2370]
[Epoch: 4, PPL: 488.9484, Best PPL: 488.9484]
[Epoch: 5, PPL: 449.8924, Best PPL: 449.8924]
[Epoch: 6, PPL: 421.8535, Best PPL: 421.8535]
[Epoch: 7, PPL: 397.5871, Best PPL: 397.5871]
[Epoch: 8, PPL: 378.5126, Best PPL: 378.5126]
[Epoch: 9, PPL: 362.7016, Best PPL: 362.7016]
[Epoch: 10, PPL: 349.5937, Best PPL: 349.5937]
[Epoch: 11, PPL: 337.8154, Best PPL: 337.8154]
[Epoch: 12, PPL: 326.5767, Best PPL: 326.5767]
[Epoch: 13, PPL: 317.2547, Best PPL: 317.2547]
[Epoch: 14, PPL: 309.1389, Best PPL: 309.1389]
[Epoch: 15, PPL: 300.9801, Best PPL: 300.9801]
[Epoch: 16, PPL: 293.9314, Best PPL: 293.9314]
[Epoch: 17, PPL: 289.8432, Best PPL: 289.8432]
[Epoch: 18, PPL: 282.7873, Best PPL: 282.7873]
[Epoch: 19, PPL: 276.1770, Best PPL: 276.1770]
[Epoch: 20, PPL: 272.1333, Best PPL: 272.1333]
[Epoch: 21, PPL: 266.7599, Best PPL: 266.7599]
[Epoch: 22, PPL: 262.5757, Best PPL: 262.5757]
[Epoch: 23, PPL: 258.6223, Best PPL: 258.6223]
[Epoch: 24, PPL: 254.8785, Best PPL: 254.8785]
[Epoch: 25, PPL: 251.1763, Best PPL: 251.1763]
[Epoch: 26, PPL: 247.7098, Best PPL: 247.7098]
[Epoch: 27, PPL: 244.0218, Best PPL: 244.0218]
[Epoch: 28, PPL: 240.7807, Best PPL: 240.7807]
[Epoch: 29, PPL: 238.0920, Best PPL: 238.0920]
[Epoch: 30, PPL: 235.5226, Best PPL: 235.5226]
[Epoch: 31, PPL: 232.6959, Best PPL: 232.6959]
[Epoch: 32, PPL: 230.0492, Best PPL: 230.0492]
[Epoch: 33, PPL: 229.2775, Best PPL: 229.2775]
[Epoch: 34, PPL: 225.7889, Best PPL: 225.7889]
[Epoch: 35, PPL: 223.4402, Best PPL: 223.4402]
[Epoch: 36, PPL: 221.6094, Best PPL: 221.6094]
[Epoch: 37, PPL: 219.4261, Best PPL: 219.4261]
[Epoch: 38, PPL: 218.1884, Best PPL: 218.1884]
[Epoch: 39, PPL: 215.7004, Best PPL: 215.7004]
[Epoch: 40, PPL: 214.0023, Best PPL: 214.0023]
[Epoch: 41, PPL: 212.3913, Best PPL: 212.3913]
[Epoch: 42, PPL: 211.1508, Best PPL: 211.1508]
[Epoch: 43, PPL: 209.0868, Best PPL: 209.0868]
[Epoch: 44, PPL: 209.2171, Best PPL: 209.0868]
[Epoch: 45, PPL: 206.5998, Best PPL: 206.5998]
[Epoch: 46, PPL: 206.0037, Best PPL: 206.0037]
