[Optimizer: SGD, Hidden-size: 200, Embedding-size: 250, Learning-rate: 0.1]
[Epoch: 1, PPL: 608.0536, Best PPL: 608.0536]
[Epoch: 2, PPL: 491.9820, Best PPL: 491.9820]
[Epoch: 3, PPL: 436.9764, Best PPL: 436.9764]
[Epoch: 4, PPL: 403.5139, Best PPL: 403.5139]
[Epoch: 5, PPL: 379.1707, Best PPL: 379.1707]
[Epoch: 6, PPL: 358.5444, Best PPL: 358.5444]
[Epoch: 7, PPL: 342.7198, Best PPL: 342.7198]
[Epoch: 8, PPL: 328.8894, Best PPL: 328.8894]
[Epoch: 9, PPL: 317.7775, Best PPL: 317.7775]
[Epoch: 10, PPL: 307.8061, Best PPL: 307.8061]
[Epoch: 11, PPL: 299.7977, Best PPL: 299.7977]
[Epoch: 12, PPL: 292.0376, Best PPL: 292.0376]
[Epoch: 13, PPL: 284.3267, Best PPL: 284.3267]
[Epoch: 14, PPL: 279.7002, Best PPL: 279.7002]
[Epoch: 15, PPL: 274.5266, Best PPL: 274.5266]
[Epoch: 16, PPL: 267.7376, Best PPL: 267.7376]
[Epoch: 17, PPL: 263.7312, Best PPL: 263.7312]
[Epoch: 18, PPL: 259.2302, Best PPL: 259.2302]
[Epoch: 19, PPL: 254.9361, Best PPL: 254.9361]
[Epoch: 20, PPL: 252.6013, Best PPL: 252.6013]
[Epoch: 21, PPL: 247.7360, Best PPL: 247.7360]
[Epoch: 22, PPL: 245.6704, Best PPL: 245.6704]
[Epoch: 23, PPL: 242.4920, Best PPL: 242.4920]
[Epoch: 24, PPL: 239.2660, Best PPL: 239.2660]
[Epoch: 25, PPL: 236.6927, Best PPL: 236.6927]
[Epoch: 26, PPL: 235.2884, Best PPL: 235.2884]
[Epoch: 27, PPL: 237.5480, Best PPL: 235.2884]
[Epoch: 28, PPL: 230.3336, Best PPL: 230.3336]
[Epoch: 29, PPL: 227.5255, Best PPL: 227.5255]
[Epoch: 30, PPL: 225.6999, Best PPL: 225.6999]
[Epoch: 31, PPL: 225.3607, Best PPL: 225.3607]
[Epoch: 32, PPL: 221.5564, Best PPL: 221.5564]
[Epoch: 33, PPL: 220.6579, Best PPL: 220.6579]
[Epoch: 34, PPL: 219.4528, Best PPL: 219.4528]
[Epoch: 35, PPL: 217.1735, Best PPL: 217.1735]
[Epoch: 36, PPL: 217.1240, Best PPL: 217.1240]
[Epoch: 37, PPL: 214.0704, Best PPL: 214.0704]
[Epoch: 38, PPL: 212.7089, Best PPL: 212.7089]
[Epoch: 39, PPL: 211.7776, Best PPL: 211.7776]
[Epoch: 40, PPL: 209.7432, Best PPL: 209.7432]
[Epoch: 41, PPL: 208.8211, Best PPL: 208.8211]
[Epoch: 42, PPL: 216.5454, Best PPL: 208.8211]
[Epoch: 43, PPL: 209.3027, Best PPL: 208.8211]
[Epoch: 44, PPL: 207.0441, Best PPL: 207.0441]
[Epoch: 45, PPL: 204.2804, Best PPL: 204.2804]
[Epoch: 46, PPL: 204.5967, Best PPL: 204.2804]
[Epoch: 47, PPL: 202.0488, Best PPL: 202.0488]
[Epoch: 48, PPL: 201.5352, Best PPL: 201.5352]
[Epoch: 49, PPL: 201.5181, Best PPL: 201.5181]
[Epoch: 50, PPL: 199.6866, Best PPL: 199.6866]
[Epoch: 51, PPL: 199.3320, Best PPL: 199.3320]
[Epoch: 52, PPL: 197.5180, Best PPL: 197.5180]
[Epoch: 53, PPL: 196.8267, Best PPL: 196.8267]
[Epoch: 54, PPL: 197.1658, Best PPL: 196.8267]
[Epoch: 55, PPL: 197.6034, Best PPL: 196.8267]
[Epoch: 56, PPL: 197.6519, Best PPL: 196.8267]
[Epoch: 57, PPL: 197.5167, Best PPL: 196.8267]
[Epoch: 58, PPL: 193.8987, Best PPL: 193.8987]
[Epoch: 59, PPL: 192.6793, Best PPL: 192.6793]
[Epoch: 60, PPL: 192.2452, Best PPL: 192.2452]
[Epoch: 61, PPL: 191.4707, Best PPL: 191.4707]
[Epoch: 62, PPL: 190.1998, Best PPL: 190.1998]
[Epoch: 63, PPL: 189.8543, Best PPL: 189.8543]
[Epoch: 64, PPL: 189.8853, Best PPL: 189.8543]
[Epoch: 65, PPL: 188.8148, Best PPL: 188.8148]
[Epoch: 66, PPL: 188.2988, Best PPL: 188.2988]
[Epoch: 67, PPL: 187.7409, Best PPL: 187.7409]
[Epoch: 68, PPL: 187.7749, Best PPL: 187.7409]
[Epoch: 69, PPL: 188.0112, Best PPL: 187.7409]
[Epoch: 70, PPL: 186.9114, Best PPL: 186.9114]
[Epoch: 71, PPL: 186.1212, Best PPL: 186.1212]
[Epoch: 72, PPL: 185.5325, Best PPL: 185.5325]
[Epoch: 73, PPL: 186.8442, Best PPL: 185.5325]
[Epoch: 74, PPL: 184.6793, Best PPL: 184.6793]
[Epoch: 75, PPL: 184.3738, Best PPL: 184.3738]
[Epoch: 76, PPL: 184.0657, Best PPL: 184.0657]
[Epoch: 77, PPL: 186.6459, Best PPL: 184.0657]
[Epoch: 78, PPL: 183.8636, Best PPL: 183.8636]
[Epoch: 79, PPL: 182.4585, Best PPL: 182.4585]
[Epoch: 80, PPL: 181.9906, Best PPL: 181.9906]
[Epoch: 81, PPL: 181.3923, Best PPL: 181.3923]
[Epoch: 82, PPL: 181.5321, Best PPL: 181.3923]
[Epoch: 83, PPL: 183.2224, Best PPL: 181.3923]
[Epoch: 84, PPL: 180.8034, Best PPL: 180.8034]
[Epoch: 85, PPL: 180.2577, Best PPL: 180.2577]
[Epoch: 86, PPL: 179.9474, Best PPL: 179.9474]
[Epoch: 87, PPL: 180.8753, Best PPL: 179.9474]
[Epoch: 88, PPL: 179.4133, Best PPL: 179.4133]
[Epoch: 89, PPL: 179.2912, Best PPL: 179.2912]
[Epoch: 90, PPL: 178.9251, Best PPL: 178.9251]
[Epoch: 91, PPL: 179.7531, Best PPL: 178.9251]
[Epoch: 92, PPL: 178.1424, Best PPL: 178.1424]
[Epoch: 93, PPL: 178.1658, Best PPL: 178.1424]
[Epoch: 94, PPL: 177.5336, Best PPL: 177.5336]
[Epoch: 95, PPL: 178.7093, Best PPL: 177.5336]
[Epoch: 96, PPL: 177.5727, Best PPL: 177.5336]
[Epoch: 97, PPL: 177.0385, Best PPL: 177.0385]
[Epoch: 98, PPL: 176.7170, Best PPL: 176.7170]
[Epoch: 99, PPL: 177.0782, Best PPL: 176.7170]
[Final PPL: 168.9398]
