[Optimizer: SGD, Hidden-size: 250, Embedding-size: 350, Learning-rate: 0.5]
[Epoch: 1, PPL: 460.5169, Best PPL: 460.5169]
[Epoch: 2, PPL: 354.5175, Best PPL: 354.5175]
[Epoch: 3, PPL: 304.5862, Best PPL: 304.5862]
[Epoch: 4, PPL: 277.3748, Best PPL: 277.3748]
[Epoch: 5, PPL: 251.2549, Best PPL: 251.2549]
[Epoch: 6, PPL: 239.0088, Best PPL: 239.0088]
[Epoch: 7, PPL: 226.2481, Best PPL: 226.2481]
[Epoch: 8, PPL: 222.0783, Best PPL: 222.0783]
[Epoch: 9, PPL: 210.0740, Best PPL: 210.0740]
[Epoch: 10, PPL: 201.6991, Best PPL: 201.6991]
[Epoch: 11, PPL: 196.3378, Best PPL: 196.3378]
[Epoch: 12, PPL: 191.6953, Best PPL: 191.6953]
[Epoch: 13, PPL: 188.9447, Best PPL: 188.9447]
[Epoch: 14, PPL: 181.9237, Best PPL: 181.9237]
[Epoch: 15, PPL: 180.4346, Best PPL: 180.4346]
[Epoch: 16, PPL: 175.4891, Best PPL: 175.4891]
[Epoch: 17, PPL: 173.5951, Best PPL: 173.5951]
[Epoch: 18, PPL: 172.8079, Best PPL: 172.8079]
[Epoch: 19, PPL: 169.1482, Best PPL: 169.1482]
[Epoch: 20, PPL: 168.4817, Best PPL: 168.4817]
[Epoch: 21, PPL: 171.1899, Best PPL: 168.4817]
[Epoch: 22, PPL: 168.4957, Best PPL: 168.4817]
[Epoch: 23, PPL: 163.6342, Best PPL: 163.6342]
[Epoch: 24, PPL: 161.9772, Best PPL: 161.9772]
[Epoch: 25, PPL: 160.9937, Best PPL: 160.9937]
[Epoch: 26, PPL: 160.9447, Best PPL: 160.9447]
[Epoch: 27, PPL: 158.2721, Best PPL: 158.2721]
[Epoch: 28, PPL: 158.4737, Best PPL: 158.2721]
[Epoch: 29, PPL: 157.2701, Best PPL: 157.2701]
[Epoch: 30, PPL: 156.7328, Best PPL: 156.7328]
[Epoch: 31, PPL: 157.1768, Best PPL: 156.7328]
[Epoch: 32, PPL: 155.7017, Best PPL: 155.7017]
[Epoch: 33, PPL: 155.6371, Best PPL: 155.6371]
[Epoch: 34, PPL: 154.1830, Best PPL: 154.1830]
[Epoch: 35, PPL: 155.6117, Best PPL: 154.1830]
[Epoch: 36, PPL: 154.9385, Best PPL: 154.1830]
[Epoch: 37, PPL: 154.6736, Best PPL: 154.1830]
[Epoch: 38, PPL: 153.1800, Best PPL: 153.1800]
[Epoch: 39, PPL: 153.5661, Best PPL: 153.1800]
[Epoch: 40, PPL: 155.0738, Best PPL: 153.1800]
[Epoch: 41, PPL: 153.9333, Best PPL: 153.1800]
[Epoch: 42, PPL: 154.2823, Best PPL: 153.1800]
[Epoch: 43, PPL: 153.4232, Best PPL: 153.1800]
[Final PPL: 147.7655]
