[Model: LM_LSTM_VAR_DROPOUT, Optimizer: SGD, Hidden-size: 250, Embedding-size: 250, Learning-rate: 1]
[Epoch: 1, PPL: 679.0546, Best PPL: 679.0546]
[Epoch: 2, PPL: 536.1633, Best PPL: 536.1633]
[Epoch: 3, PPL: 477.8560, Best PPL: 477.8560]
[Epoch: 4, PPL: 441.3939, Best PPL: 441.3939]
[Epoch: 5, PPL: 416.7076, Best PPL: 416.7076]
[Epoch: 6, PPL: 387.6861, Best PPL: 387.6861]
[Epoch: 7, PPL: 370.5687, Best PPL: 370.5687]
[Epoch: 8, PPL: 356.5587, Best PPL: 356.5587]
[Epoch: 9, PPL: 343.6034, Best PPL: 343.6034]
[Epoch: 10, PPL: 336.0964, Best PPL: 336.0964]
[Epoch: 11, PPL: 326.4263, Best PPL: 326.4263]
[Epoch: 12, PPL: 316.9627, Best PPL: 316.9627]
[Epoch: 13, PPL: 310.0857, Best PPL: 310.0857]
[Epoch: 14, PPL: 308.1511, Best PPL: 308.1511]
[Epoch: 15, PPL: 299.3005, Best PPL: 299.3005]
[Epoch: 16, PPL: 294.1041, Best PPL: 294.1041]
[Epoch: 17, PPL: 290.1100, Best PPL: 290.1100]
[Epoch: 18, PPL: 288.5797, Best PPL: 288.5797]
[Epoch: 19, PPL: 280.5568, Best PPL: 280.5568]
[Epoch: 20, PPL: 276.4095, Best PPL: 276.4095]
[Epoch: 21, PPL: 275.8350, Best PPL: 275.8350]
[Epoch: 22, PPL: 275.0675, Best PPL: 275.0675]
[Epoch: 23, PPL: 269.8273, Best PPL: 269.8273]
[Epoch: 24, PPL: 266.8277, Best PPL: 266.8277]
[Epoch: 25, PPL: 263.6766, Best PPL: 263.6766]
[Epoch: 26, PPL: 262.1816, Best PPL: 262.1816]
[Epoch: 27, PPL: 257.6543, Best PPL: 257.6543]
[Epoch: 28, PPL: 259.5771, Best PPL: 257.6543]
[Epoch: 29, PPL: 255.0468, Best PPL: 255.0468]
[Epoch: 30, PPL: 253.5352, Best PPL: 253.5352]
[Epoch: 31, PPL: 250.8425, Best PPL: 250.8425]
[Epoch: 32, PPL: 249.1365, Best PPL: 249.1365]
[Epoch: 33, PPL: 245.9144, Best PPL: 245.9144]
[Epoch: 34, PPL: 247.4601, Best PPL: 245.9144]
[Epoch: 35, PPL: 242.7075, Best PPL: 242.7075]
[Epoch: 36, PPL: 241.2428, Best PPL: 241.2428]
[Epoch: 37, PPL: 240.2848, Best PPL: 240.2848]
[Epoch: 38, PPL: 241.4893, Best PPL: 240.2848]
[Epoch: 39, PPL: 237.4957, Best PPL: 237.4957]
[Epoch: 40, PPL: 235.0680, Best PPL: 235.0680]
[Epoch: 41, PPL: 235.1109, Best PPL: 235.0680]
[Epoch: 42, PPL: 233.9672, Best PPL: 233.9672]
[Epoch: 43, PPL: 232.3466, Best PPL: 232.3466]
[Epoch: 44, PPL: 232.3774, Best PPL: 232.3466]
[Epoch: 45, PPL: 229.5928, Best PPL: 229.5928]
[Epoch: 46, PPL: 232.1240, Best PPL: 229.5928]
[Epoch: 47, PPL: 227.2303, Best PPL: 227.2303]
[Epoch: 48, PPL: 226.3856, Best PPL: 226.3856]
[Epoch: 49, PPL: 225.3828, Best PPL: 225.3828]
[Epoch: 50, PPL: 224.8557, Best PPL: 224.8557]
[Epoch: 51, PPL: 223.0655, Best PPL: 223.0655]
[Epoch: 52, PPL: 223.2751, Best PPL: 223.0655]
[Epoch: 53, PPL: 224.8917, Best PPL: 223.0655]
[Epoch: 54, PPL: 220.5668, Best PPL: 220.5668]
[Epoch: 55, PPL: 220.3456, Best PPL: 220.3456]
[Epoch: 56, PPL: 219.8213, Best PPL: 219.8213]
[Epoch: 57, PPL: 222.3654, Best PPL: 219.8213]
[Epoch: 58, PPL: 217.8908, Best PPL: 217.8908]
[Epoch: 59, PPL: 218.6360, Best PPL: 217.8908]
