[Model: LM_LSTM_VAR_DROPOUT, Optimizer: SGD, Hidden-size: 250, Embedding-size: 250, Learning-rate: 15]
[Epoch: 1, PPL: 453.0865, Best PPL: 453.0865]
[Epoch: 2, PPL: 368.5079, Best PPL: 368.5079]
[Epoch: 3, PPL: 332.6661, Best PPL: 332.6661]
[Epoch: 4, PPL: 314.6383, Best PPL: 314.6383]
[Epoch: 5, PPL: 311.9387, Best PPL: 311.9387]
[Epoch: 6, PPL: 284.4763, Best PPL: 284.4763]
[Epoch: 7, PPL: 281.8145, Best PPL: 281.8145]
[Epoch: 8, PPL: 269.0599, Best PPL: 269.0599]
[Epoch: 9, PPL: 261.3695, Best PPL: 261.3695]
[Epoch: 10, PPL: 253.4825, Best PPL: 253.4825]
[Epoch: 11, PPL: 246.8164, Best PPL: 246.8164]
[Epoch: 12, PPL: 244.5612, Best PPL: 244.5612]
[Epoch: 13, PPL: 237.8870, Best PPL: 237.8870]
[Epoch: 14, PPL: 231.8457, Best PPL: 231.8457]
[Epoch: 15, PPL: 229.7008, Best PPL: 229.7008]
[Epoch: 16, PPL: 228.9460, Best PPL: 228.9460]
[Epoch: 17, PPL: 219.5817, Best PPL: 219.5817]
[Epoch: 18, PPL: 221.3290, Best PPL: 219.5817]
[Epoch: 19, PPL: 216.6610, Best PPL: 216.6610]
[Epoch: 20, PPL: 216.0774, Best PPL: 216.0774]
[Epoch: 21, PPL: 211.8968, Best PPL: 211.8968]
[Epoch: 22, PPL: 207.8931, Best PPL: 207.8931]
[Epoch: 23, PPL: 205.9722, Best PPL: 205.9722]
[Epoch: 24, PPL: 203.7577, Best PPL: 203.7577]
[Epoch: 25, PPL: 201.9504, Best PPL: 201.9504]
[Epoch: 26, PPL: 199.2958, Best PPL: 199.2958]
[Epoch: 27, PPL: 200.5475, Best PPL: 199.2958]
[Epoch: 28, PPL: 196.1724, Best PPL: 196.1724]
[Epoch: 29, PPL: 197.4318, Best PPL: 196.1724]
[Epoch: 30, PPL: 195.5394, Best PPL: 195.5394]
[Epoch: 31, PPL: 193.4373, Best PPL: 193.4373]
[Epoch: 32, PPL: 191.5035, Best PPL: 191.5035]
[Epoch: 33, PPL: 189.3023, Best PPL: 189.3023]
[Epoch: 34, PPL: 190.3992, Best PPL: 189.3023]
[Epoch: 35, PPL: 185.6402, Best PPL: 185.6402]
[Epoch: 36, PPL: 194.8090, Best PPL: 185.6402]
[Epoch: 37, PPL: 184.0231, Best PPL: 184.0231]
[Epoch: 38, PPL: 186.6394, Best PPL: 184.0231]
[Epoch: 39, PPL: 183.7661, Best PPL: 183.7661]
[Epoch: 40, PPL: 184.8524, Best PPL: 183.7661]
[Epoch: 41, PPL: 183.7324, Best PPL: 183.7324]
[Epoch: 42, PPL: 186.1725, Best PPL: 183.7324]
[Epoch: 43, PPL: 180.0656, Best PPL: 180.0656]
[Epoch: 44, PPL: 179.3880, Best PPL: 179.3880]
[Epoch: 45, PPL: 180.1037, Best PPL: 179.3880]
[Epoch: 46, PPL: 178.2343, Best PPL: 178.2343]
[Epoch: 47, PPL: 180.3263, Best PPL: 178.2343]
[Epoch: 48, PPL: 179.6508, Best PPL: 178.2343]
[Epoch: 49, PPL: 177.9773, Best PPL: 177.9773]
[Epoch: 50, PPL: 178.2815, Best PPL: 177.9773]
[Epoch: 51, PPL: 176.9831, Best PPL: 176.9831]
[Epoch: 52, PPL: 175.1883, Best PPL: 175.1883]
[Epoch: 53, PPL: 175.8951, Best PPL: 175.1883]
[Epoch: 54, PPL: 175.5142, Best PPL: 175.1883]
[Epoch: 55, PPL: 174.6254, Best PPL: 174.6254]
[Epoch: 56, PPL: 177.2816, Best PPL: 174.6254]
[Epoch: 57, PPL: 176.7296, Best PPL: 174.6254]
[Epoch: 58, PPL: 175.5072, Best PPL: 174.6254]
[Epoch: 59, PPL: 173.1366, Best PPL: 173.1366]
[Epoch: 60, PPL: 172.7008, Best PPL: 172.7008]
[Epoch: 61, PPL: 171.9931, Best PPL: 171.9931]
[Epoch: 62, PPL: 173.1163, Best PPL: 171.9931]
[Epoch: 63, PPL: 171.7895, Best PPL: 171.7895]
[Epoch: 64, PPL: 172.6139, Best PPL: 171.7895]
[Epoch: 65, PPL: 171.1944, Best PPL: 171.1944]
[Epoch: 66, PPL: 170.1535, Best PPL: 170.1535]
[Epoch: 67, PPL: 170.1225, Best PPL: 170.1225]
[Epoch: 68, PPL: 174.4174, Best PPL: 170.1225]
[Epoch: 69, PPL: 171.5363, Best PPL: 170.1225]
[Epoch: 70, PPL: 170.6712, Best PPL: 170.1225]
[Epoch: 71, PPL: 172.8214, Best PPL: 170.1225]
[Epoch: 72, PPL: 167.6290, Best PPL: 167.6290]
[Epoch: 73, PPL: 172.5364, Best PPL: 167.6290]
[Epoch: 74, PPL: 171.8083, Best PPL: 167.6290]
[Epoch: 75, PPL: 168.6946, Best PPL: 167.6290]
[Epoch: 76, PPL: 172.6664, Best PPL: 167.6290]
[Epoch: 77, PPL: 168.8850, Best PPL: 167.6290]
[Final PPL: 154.5288]
