[Model: LM_LSTM_VAR_DROPOUT, Optimizer: SGD, Hidden-size: 250, Embedding-size: 250, Learning-rate: 10]
[Epoch: 1, PPL: 519.6727, Best PPL: 519.6727]
[Epoch: 2, PPL: 395.4542, Best PPL: 395.4542]
[Epoch: 3, PPL: 374.4658, Best PPL: 374.4658]
[Epoch: 4, PPL: 336.1873, Best PPL: 336.1873]
[Epoch: 5, PPL: 315.5908, Best PPL: 315.5908]
[Epoch: 6, PPL: 298.4037, Best PPL: 298.4037]
[Epoch: 7, PPL: 295.6038, Best PPL: 295.6038]
[Epoch: 8, PPL: 295.3675, Best PPL: 295.3675]
[Epoch: 9, PPL: 269.9162, Best PPL: 269.9162]
[Epoch: 10, PPL: 263.7796, Best PPL: 263.7796]
[Epoch: 11, PPL: 248.4842, Best PPL: 248.4842]
[Epoch: 12, PPL: 247.8122, Best PPL: 247.8122]
[Epoch: 13, PPL: 241.0629, Best PPL: 241.0629]
[Epoch: 14, PPL: 245.2138, Best PPL: 241.0629]
[Epoch: 15, PPL: 234.2587, Best PPL: 234.2587]
[Epoch: 16, PPL: 243.5825, Best PPL: 234.2587]
[Epoch: 17, PPL: 225.2896, Best PPL: 225.2896]
[Epoch: 18, PPL: 221.4975, Best PPL: 221.4975]
[Epoch: 19, PPL: 214.9584, Best PPL: 214.9584]
[Epoch: 20, PPL: 217.1830, Best PPL: 214.9584]
[Epoch: 21, PPL: 212.6097, Best PPL: 212.6097]
[Epoch: 22, PPL: 208.2676, Best PPL: 208.2676]
[Epoch: 23, PPL: 208.6604, Best PPL: 208.2676]
[Epoch: 24, PPL: 206.7804, Best PPL: 206.7804]
[Epoch: 25, PPL: 201.6065, Best PPL: 201.6065]
[Epoch: 26, PPL: 198.8395, Best PPL: 198.8395]
[Epoch: 27, PPL: 202.7449, Best PPL: 198.8395]
[Epoch: 28, PPL: 192.9252, Best PPL: 192.9252]
[Epoch: 29, PPL: 192.3343, Best PPL: 192.3343]
[Epoch: 30, PPL: 191.7070, Best PPL: 191.7070]
[Epoch: 31, PPL: 191.6752, Best PPL: 191.6752]
[Epoch: 32, PPL: 190.6745, Best PPL: 190.6745]
[Epoch: 33, PPL: 188.0782, Best PPL: 188.0782]
[Epoch: 34, PPL: 189.0168, Best PPL: 188.0782]
[Epoch: 35, PPL: 182.7042, Best PPL: 182.7042]
[Epoch: 36, PPL: 182.9437, Best PPL: 182.7042]
[Epoch: 37, PPL: 183.0042, Best PPL: 182.7042]
[Epoch: 38, PPL: 179.6204, Best PPL: 179.6204]
[Epoch: 39, PPL: 182.0216, Best PPL: 179.6204]
[Epoch: 40, PPL: 178.0502, Best PPL: 178.0502]
[Epoch: 41, PPL: 175.9705, Best PPL: 175.9705]
[Epoch: 42, PPL: 177.1018, Best PPL: 175.9705]
[Epoch: 43, PPL: 177.5311, Best PPL: 175.9705]
[Epoch: 44, PPL: 176.0187, Best PPL: 175.9705]
[Epoch: 45, PPL: 172.3104, Best PPL: 172.3104]
[Epoch: 46, PPL: 173.1352, Best PPL: 172.3104]
[Epoch: 47, PPL: 173.0841, Best PPL: 172.3104]
[Epoch: 48, PPL: 176.0009, Best PPL: 172.3104]
[Epoch: 49, PPL: 171.6614, Best PPL: 171.6614]
[Epoch: 50, PPL: 170.4200, Best PPL: 170.4200]
[Epoch: 51, PPL: 169.3910, Best PPL: 169.3910]
[Epoch: 52, PPL: 167.1958, Best PPL: 167.1958]
[Epoch: 53, PPL: 172.7755, Best PPL: 167.1958]
[Epoch: 54, PPL: 169.5000, Best PPL: 167.1958]
[Epoch: 55, PPL: 167.4802, Best PPL: 167.1958]
[Epoch: 56, PPL: 168.5783, Best PPL: 167.1958]
[Epoch: 57, PPL: 166.3027, Best PPL: 166.3027]
[Epoch: 58, PPL: 165.3381, Best PPL: 165.3381]
[Epoch: 59, PPL: 163.4417, Best PPL: 163.4417]
[Epoch: 60, PPL: 163.4445, Best PPL: 163.4417]
[Epoch: 61, PPL: 163.8088, Best PPL: 163.4417]
[Epoch: 62, PPL: 161.1341, Best PPL: 161.1341]
[Epoch: 63, PPL: 163.0924, Best PPL: 161.1341]
[Epoch: 64, PPL: 163.5248, Best PPL: 161.1341]
[Epoch: 65, PPL: 159.3719, Best PPL: 159.3719]
[Epoch: 66, PPL: 161.7135, Best PPL: 159.3719]
[Epoch: 67, PPL: 160.8137, Best PPL: 159.3719]
[Epoch: 68, PPL: 159.1521, Best PPL: 159.1521]
[Epoch: 69, PPL: 160.2815, Best PPL: 159.1521]
[Epoch: 70, PPL: 159.8453, Best PPL: 159.1521]
[Epoch: 71, PPL: 159.3703, Best PPL: 159.1521]
[Epoch: 72, PPL: 160.9508, Best PPL: 159.1521]
[Epoch: 73, PPL: 159.6317, Best PPL: 159.1521]
[Final PPL: 151.6710]
