[Model: LSTM, Weight Tying, Optimizer: SGD, Hidden-size: 250, Embedding-size: 250, Learning-rate: 0.1]
[Epoch: 1, PPL: 1640.5975, Best PPL: 1640.5975]
[Epoch: 2, PPL: 1110.9190, Best PPL: 1110.9190]
[Epoch: 3, PPL: 923.1185, Best PPL: 923.1185]
[Epoch: 4, PPL: 819.1453, Best PPL: 819.1453]
[Epoch: 5, PPL: 752.7119, Best PPL: 752.7119]
[Epoch: 6, PPL: 703.3525, Best PPL: 703.3525]
[Epoch: 7, PPL: 666.3046, Best PPL: 666.3046]
[Epoch: 8, PPL: 638.5654, Best PPL: 638.5654]
[Epoch: 9, PPL: 610.8016, Best PPL: 610.8016]
[Epoch: 10, PPL: 592.1480, Best PPL: 592.1480]
[Epoch: 11, PPL: 574.9310, Best PPL: 574.9310]
[Epoch: 12, PPL: 561.7086, Best PPL: 561.7086]
[Epoch: 13, PPL: 545.0281, Best PPL: 545.0281]
[Epoch: 14, PPL: 532.8146, Best PPL: 532.8146]
[Epoch: 15, PPL: 527.7843, Best PPL: 527.7843]
[Epoch: 16, PPL: 512.2003, Best PPL: 512.2003]
[Epoch: 17, PPL: 503.5855, Best PPL: 503.5855]
[Epoch: 18, PPL: 497.0176, Best PPL: 497.0176]
[Epoch: 19, PPL: 487.1723, Best PPL: 487.1723]
[Epoch: 20, PPL: 477.6476, Best PPL: 477.6476]
[Epoch: 21, PPL: 471.0384, Best PPL: 471.0384]
[Epoch: 22, PPL: 463.7141, Best PPL: 463.7141]
[Epoch: 23, PPL: 457.9176, Best PPL: 457.9176]
[Epoch: 24, PPL: 452.8751, Best PPL: 452.8751]
[Epoch: 25, PPL: 448.2835, Best PPL: 448.2835]
[Epoch: 26, PPL: 451.1011, Best PPL: 448.2835]
[Epoch: 27, PPL: 436.3477, Best PPL: 436.3477]
[Epoch: 28, PPL: 432.7157, Best PPL: 432.7157]
[Epoch: 29, PPL: 427.5245, Best PPL: 427.5245]
[Epoch: 30, PPL: 425.8941, Best PPL: 425.8941]
[Epoch: 31, PPL: 420.4181, Best PPL: 420.4181]
[Epoch: 32, PPL: 418.4922, Best PPL: 418.4922]
[Epoch: 33, PPL: 414.6721, Best PPL: 414.6721]
[Epoch: 34, PPL: 409.2203, Best PPL: 409.2203]
[Epoch: 35, PPL: 405.8189, Best PPL: 405.8189]
