[Model: LSTM, Weight Tying Optimizer: SGD, Hidden-size: 350, Embedding-size: 350, Learning-rate: 0.01]
[Epoch: 1, PPL: 18613.1839, Best PPL: 18613.1839]
[Epoch: 2, PPL: 6966.8930, Best PPL: 6966.8930]
[Epoch: 3, PPL: 4219.4529, Best PPL: 4219.4529]
[Epoch: 4, PPL: 3078.3790, Best PPL: 3078.3790]
[Epoch: 5, PPL: 2469.6976, Best PPL: 2469.6976]
[Epoch: 6, PPL: 2092.3272, Best PPL: 2092.3272]
[Epoch: 7, PPL: 1833.6242, Best PPL: 1833.6242]
[Epoch: 8, PPL: 1649.5981, Best PPL: 1649.5981]
[Epoch: 9, PPL: 1510.2340, Best PPL: 1510.2340]
[Epoch: 10, PPL: 1400.8006, Best PPL: 1400.8006]
[Epoch: 11, PPL: 1313.4191, Best PPL: 1313.4191]
[Epoch: 12, PPL: 1241.2960, Best PPL: 1241.2960]
[Epoch: 13, PPL: 1179.7416, Best PPL: 1179.7416]
[Epoch: 14, PPL: 1128.4106, Best PPL: 1128.4106]
[Epoch: 15, PPL: 1083.9736, Best PPL: 1083.9736]
[Epoch: 16, PPL: 1044.9579, Best PPL: 1044.9579]
[Epoch: 17, PPL: 1010.3786, Best PPL: 1010.3786]
[Epoch: 18, PPL: 980.1869, Best PPL: 980.1869]
[Epoch: 19, PPL: 952.9454, Best PPL: 952.9454]
[Epoch: 20, PPL: 928.0234, Best PPL: 928.0234]
[Epoch: 21, PPL: 906.1645, Best PPL: 906.1645]
[Epoch: 22, PPL: 884.7708, Best PPL: 884.7708]
[Epoch: 23, PPL: 865.8597, Best PPL: 865.8597]
[Epoch: 24, PPL: 849.1464, Best PPL: 849.1464]
[Epoch: 25, PPL: 833.7908, Best PPL: 833.7908]
[Epoch: 26, PPL: 819.1791, Best PPL: 819.1791]
[Epoch: 27, PPL: 805.2393, Best PPL: 805.2393]
[Epoch: 28, PPL: 792.0583, Best PPL: 792.0583]
[Epoch: 29, PPL: 779.5521, Best PPL: 779.5521]
[Epoch: 30, PPL: 767.8932, Best PPL: 767.8932]
[Epoch: 31, PPL: 757.2464, Best PPL: 757.2464]
[Epoch: 32, PPL: 747.3432, Best PPL: 747.3432]
[Epoch: 33, PPL: 738.1367, Best PPL: 738.1367]
[Epoch: 34, PPL: 729.4742, Best PPL: 729.4742]
[Epoch: 35, PPL: 719.6742, Best PPL: 719.6742]
[Epoch: 36, PPL: 712.0418, Best PPL: 712.0418]
[Epoch: 37, PPL: 703.9604, Best PPL: 703.9604]
[Epoch: 38, PPL: 696.1236, Best PPL: 696.1236]
[Epoch: 39, PPL: 689.3086, Best PPL: 689.3086]
[Epoch: 40, PPL: 682.3461, Best PPL: 682.3461]
[Epoch: 41, PPL: 675.6571, Best PPL: 675.6571]
[Epoch: 42, PPL: 669.4992, Best PPL: 669.4992]
[Epoch: 43, PPL: 663.1165, Best PPL: 663.1165]
[Epoch: 44, PPL: 657.5482, Best PPL: 657.5482]
[Epoch: 45, PPL: 652.5878, Best PPL: 652.5878]
[Epoch: 46, PPL: 646.4529, Best PPL: 646.4529]
[Epoch: 47, PPL: 641.5201, Best PPL: 641.5201]
[Epoch: 48, PPL: 636.6125, Best PPL: 636.6125]
[Epoch: 49, PPL: 631.7108, Best PPL: 631.7108]
[Epoch: 50, PPL: 627.7951, Best PPL: 627.7951]
[Epoch: 51, PPL: 622.5111, Best PPL: 622.5111]
[Epoch: 52, PPL: 618.3369, Best PPL: 618.3369]
[Epoch: 53, PPL: 613.4343, Best PPL: 613.4343]
[Epoch: 54, PPL: 609.4250, Best PPL: 609.4250]
[Epoch: 55, PPL: 605.4391, Best PPL: 605.4391]
[Epoch: 56, PPL: 602.0726, Best PPL: 602.0726]
[Epoch: 57, PPL: 598.1648, Best PPL: 598.1648]
[Epoch: 58, PPL: 594.4290, Best PPL: 594.4290]
[Epoch: 59, PPL: 590.9578, Best PPL: 590.9578]
[Epoch: 60, PPL: 587.1559, Best PPL: 587.1559]
[Epoch: 61, PPL: 584.4934, Best PPL: 584.4934]
[Epoch: 62, PPL: 581.2929, Best PPL: 581.2929]
[Epoch: 63, PPL: 577.2610, Best PPL: 577.2610]
[Epoch: 64, PPL: 574.2369, Best PPL: 574.2369]
[Epoch: 65, PPL: 571.4605, Best PPL: 571.4605]
[Epoch: 66, PPL: 567.9747, Best PPL: 567.9747]
[Epoch: 67, PPL: 564.9417, Best PPL: 564.9417]
[Epoch: 68, PPL: 562.4891, Best PPL: 562.4891]
[Epoch: 69, PPL: 559.4164, Best PPL: 559.4164]
[Epoch: 70, PPL: 557.8775, Best PPL: 557.8775]
[Epoch: 71, PPL: 554.0087, Best PPL: 554.0087]
[Epoch: 72, PPL: 552.7689, Best PPL: 552.7689]
[Epoch: 73, PPL: 549.0162, Best PPL: 549.0162]
[Epoch: 74, PPL: 546.8666, Best PPL: 546.8666]
[Epoch: 75, PPL: 544.5493, Best PPL: 544.5493]
[Epoch: 76, PPL: 541.8621, Best PPL: 541.8621]
[Epoch: 77, PPL: 541.3745, Best PPL: 541.3745]
[Epoch: 78, PPL: 537.2764, Best PPL: 537.2764]
[Epoch: 79, PPL: 535.9395, Best PPL: 535.9395]
[Epoch: 80, PPL: 532.7062, Best PPL: 532.7062]
[Epoch: 81, PPL: 530.5742, Best PPL: 530.5742]
[Epoch: 82, PPL: 529.0372, Best PPL: 529.0372]
[Epoch: 83, PPL: 527.0107, Best PPL: 527.0107]
[Epoch: 84, PPL: 525.8680, Best PPL: 525.8680]
[Epoch: 85, PPL: 522.4793, Best PPL: 522.4793]
[Epoch: 86, PPL: 521.6590, Best PPL: 521.6590]
[Epoch: 87, PPL: 518.7793, Best PPL: 518.7793]
[Epoch: 88, PPL: 517.0462, Best PPL: 517.0462]
[Epoch: 89, PPL: 515.1281, Best PPL: 515.1281]
[Epoch: 90, PPL: 514.0181, Best PPL: 514.0181]
[Epoch: 91, PPL: 511.6058, Best PPL: 511.6058]
[Epoch: 92, PPL: 510.0907, Best PPL: 510.0907]
[Epoch: 93, PPL: 507.8901, Best PPL: 507.8901]
[Epoch: 94, PPL: 506.9966, Best PPL: 506.9966]
[Epoch: 95, PPL: 505.1346, Best PPL: 505.1346]
[Epoch: 96, PPL: 503.6702, Best PPL: 503.6702]
[Epoch: 97, PPL: 503.0292, Best PPL: 503.0292]
[Epoch: 98, PPL: 499.9859, Best PPL: 499.9859]
[Epoch: 99, PPL: 498.6922, Best PPL: 498.6922]
[Final PPL: 486.6692]
